Index,Title,Price,Color
1,Vexx: Uno Court - Vexx Multi-Moji,"100,00 ",2 
2,Skechers Slip-ins: Snoop One - Rhine-Stoned,"110,00 ",2 
3,Skechers Slip-ins: Arch Fit Arcade - Forever Cozy,"80,00 ",2 
4,Arch Fit Arcade - Meet Ya There,"75,00 ",2
5,Arch Fit Arcade - On My Way,"75,00 ",1 
6,Skechers Slip-ins: BOBS Skip Cute - B Cute Sweet,"65,00 ",3 
7,Skechers Slip-ins: BOBS Sport Squad Chaos,"80,00 ",5
8,Skechers Slip-ins GO Walk Glide-Step 2.0 - Venus,"100,00 ",2
9,Skechers Slip-ins: Glide-Step - Prism,"80,00 ",1 
10,Skechers Slip-ins: Glide-Step Pro - Everyday,"90,00 ",2 
11,Skechers Slip-ins: Glide-Step Altus,"110,00 ",3 
12,Skechers Slip-ins: Glide-Step - Tranquility,"90,00 ",1 
13,Skechers Slip-ins: Glide-Step - Excite,"95,00 ",1 
14,Skechers Slip-ins: Ultra Flex 3.0 - Brilliant,"100,00 ",9
15,Skechers Slip-ins: Ultra Flex 3.0 - New Energy,"100,00 ",1 
16,Skechers Slip-ins: Ultra Flex 3.0 - Smooth Step,"95,00 ",4
17,Skechers Slip-ins: Ultra Flex 3.0 - Cozy Streak,"100,00 ",1 
18,Skechers Slip-ins: Summits - Dazzling Haze,"80,00 ",6
19,Skechers Slip-ins: Max Cushioning Elite 2.0,"120,00 ",3 
20,Skechers Slip-ins: Arch Fit 2.0 - Right as Rain,"130,00 ",1 
21,BOBS D'Vine - Spotted Bud,"55,00 ",1 
22,BOBS D'Vine - Doodle Fair,"60,00 ",1 
23,BOBS Beyond - Pup Parade,"55,00 ",1 
24,Uno Wedge - Everything Nice,"90,00 ",3 
25,Uno Wedge - HI Steps,"90,00 ",3 
26,Uno Envy - Pointed Bliss,"95,00 ",4 
27,Uno Lite - Lite Work,"70,00 ",3 
28,Uno - Stand on Air,"90,00 ",33
29,Uno - Galactic Gal,"95,00 ",3 
30,Uno - Shimmer Away,"90,00 ",7
31,Uno - Golden Air,"90,00 ",3 
32,Uno - Glitter Bomb,"90,00 ",2 
33,Uno Rugged - Spotted Terrain,"110,00 ",1 
34,Uno Prima - Starlet,"130,00 ",2 
35,Uno Court - Fast Break,"85,00 ",3 
36,Ricardo Cavolo: Uno - Flaming Love,"100,00 ",1 
37,Uno - - Stand High,"90,00 ",3 
38,Uno Rugged - Fall Shimmer,"95,00 ",2 
39,Uno Peaks - Moon Puffz,"90,00 ",2 
40,Uno Court - Courted Air,"85,00 ",2 
41,Jade - Chestnut Chills,"80,00 ",1 
42,Uno Court - Courted Style,"85,00 ",1 
43,Jade - Best In Class,"75,00 ",5 
44,Sport Court 2.0 - Core Essential,"75,00 ",2 
45,Eden LX - Slick Talk,"70,00 ",1 
46,D'Lites - Popular Vote,"80,00 ",2 
47,Skechers Slip-ins Relaxed Fit: Easy Going - Cozy Weather 2,"90,00 ",2 
48,Skechers Slip-ins: Easy Going - Fun Habits,"85,00 ",1 
49,Skechers Slip-ins: Easy Going - Fall Adventures,"85,00 ",2 
50,Arya - Fashionista,"75,00 ",2 
51,HI Ryze - Street Stomper,"85,00 ",2 
52,BOBS Keepsakes Lite - Cozy Fest,"45,00 ",2 
53,Cozy Campfire - Winter Nights,"45,00 ",3 
54,Cozy Up,"40,00 ",3 
55,BOBS Cozy Chill - Cozy Spot,"40,00 ",1 
56,Tres-Air Uno - Ah-Mazing,"90,00 ",4 
57,Skechers Slip-ins: GO RUN Consistent 2.0 - Endure,"90,00 ",2 
58,Skechers Slip-ins: GO WALK 7 - Mia,"100,00 ",2 
59,Skechers Slip-ins: GO WALK 7 - Valin,"110,00 ",2 
60,Skechers Slip-ins: Breathe-Easy - Home-Body,"85,00 ",2 
61,Skechers Slip-ins: GO WALK Arch Fit 2.0,"110,00 ",4 
62,Skechers Slip-ins: GO WALK 7 - Adel,"100,00 ",2 
63,GO WALK MAX Walker - Vea,"95,00 ",1 
64,GO WALK Arch Fit 2.0 - Paityn,"90,00 ",2 
65,GO WALK 7 - Zaida,"85,00 ",1 
66,GO WALK Arch Fit 2.0 - Balin,"95,00 ",4 
67,Arch Fit 2.0 - Sheer Shimmer,"90,00 ",2 
68,Skechers Arch Fit S-Miles - Mile Makers,"100,00 ",2 
69,Arch Fit 2.0 - Glow The Distance,"95,00 ",2 
70,Arch Fit 2.0 - Big League,"95,00 ",6
71,Arch Fit 2.0 - Star Bound,"95,00 ",2 
72,Skechers Arch Fit - Big Appeal,"100,00 ",5
73,Arch Fit Vista - Gleaming,"100,00 ",2 
74,Arch Fit 2.0 - Dark Horse,"95,00 ",1 
75,GO WALK 7 - Ivy,"80,00 ",1
76,GO WALK 7 - Cosmic Waves,"85,00 ",3 
77,GO WALK 7 - Clear Path,"80,00 ",4
78,Skechers Slip-ins: Virtue - Divinity,"85,00 ",3 
79,Skechers Slip-ins: Summits - Classy Night,"80,00 ",2 
80,Skechers Slip-ins: Ultra Flex 3.0 - Shiny Night,"100,00 ",2 
81,Skechers Slip-ins: GO GOLF WALK 5 - Slip-Ins,"115,00 ",1 
82,Skechers Slip-ins: GO GOLF Elite 5 - Slip 'In,"155,00 ",1 
83,Skechers Slip-ins: GO WALK Flex - Grand Entry,"85,00 ",5 
84,Skechers Slip-ins: GO WALK Flex - Relish,"85,00 ",2 
85,Skechers Slip-ins: On-the-GO Flex - Camellia,"80,00 ",2 
86,Skechers Slip-ins: GO WALK 6 - Fabulous View,"100,00 ",1 
87,Skechers Slip-Ins: GO WALK 6 - Vivid Idea,"110,00 ",1 
88,Skechers Slip-ins: On-the-GO Flex - Serene,"80,00 ",1 
89,Skechers Slip-ins: On-the-GO Flex - Captivating,"80,00 ",1 
90,Skechers Slip-ins Work: Summits SR - Enslee,"90,00 ",1 
91,D'Lites - New Heat,"75,00 ",3 
92,Skechers Slip-ins: Gratis Sport - Leisurely,"90,00 ",2 
93,Skechers Slip-ins: Hillcrest - Sunapee,"100,00 ",3 
94,Skechers Slip-ins RF: Easy Going - Modern Hour,"85,00 ",2 
95,Skechers Slip-ins: Eden LX - Royal Stride,"80,00 ",2 
96,Skechers Slip-ins Mark Nason: A Wedge - Crecent,"95,00 ",3 
97,Mark Nason: New Wave Cup - The Rally,"85,00 ",1 
98,D'Lites - Fresh Start,"75,00 ",2
99,D'Lites - Biggest Fan,"75,00 ",3
100,D'Lites - Bold Views,"75,00 ",1 
101,D'Lites Hiker,"90,00 ",3 
102,Relaxed Fit: Trego - Trail Destiny,"80,00 ",2
103,Relaxed Fit: Trego - Lookout Point,"100,00 ",1 
104,Relaxed Fit: Trego - Alpine Trail,"110,00 ",1
105,Relaxed Fit: Trego - Base Camp,"110,00 ",1 
106,Escape Plan - Outward Voyage,"120,00 ",1 
107,Hillcrest - New Traveler,"80,00 ",1 
108,Hillcrest - Nature Walk,"80,00 ",1
109,Arya - One Moment,"80,00 ",1 
110,Skechers BOBS Sport Sparrow 2.0 - Allegiance Crew,"70,00 ",2 
111,Uno 2 - Air Around You,"95,00 ",2 
112,Million Air - Elevated Air,"85,00 ",3 
113,D'Lites - Good Neutral,"75,00 ",2 
114,Relaxed Fit: D'Lux Walker 2.0 - Daisy Doll,"90,00 ",2 
115,Relaxed Fit: D'Lux Walker 2.0 - Sparkle Forever,"85,00 ",2 
116,Relaxed Fit: D'Lux Walker 2.0 - Bold State,"85,00 ",5 
117,Relaxed Fit: D'Lux Journey - Marigold,"95,00 ",2 
118,Skechers Viper Court Smash - Pickleball,"80,00 ",1 
119,Max Cushioning Elite 2.0,"110,00 ",2 
120,Max Cushioning Elite 2.0 - Enhanced,"110,00 ",2 
121,Skechers Max Cushioning Elite - Step Up,"110,00 ",1 
122,Work: Max Cushioning Elite SR,"95,00 ",1 
123,Gusto,"80,00 ",1 
124,GO WALK Flex - Viva,"70,00 ",1 
125,GO WALK Flex - Caley,"75,00 ",2 
126,GO WALK Flex - Ocean Sunset,"70,00 ",1 
127,GO WALK Flex - Alani,"70,00 ",1
128,BOBS D'Vine - Instant Delight,"55,00 ",2 
129,BOBS Copa,"60,00 ",3 
130,BOBS B Cute,"50,00 ",2 
131,Skechers BOBS Sport Geo - New Aesthetics,"65,00 ",7 
132,Skechers BOBS Sport Squad Chaos - Face Off,"65,00 ",7
133,Skechers BOBS Sport B Flex - Visionary Essence,"60,00 ",4 
134,Bobs Sport Squad Chaos - Cool Rythms,"65,00 ",4 
135,Bobs Sport Squad Air - Close Encounter,"80,00 ",1 
136,GO RUN Supersonic Max,"90,00 ",3 
137,GO RUN Elevate - Cadena,"80,00 ",2 
138,Hazel - Step N Flow,"80,00 ",1 
139,GO RUN Lite - Aurora Sky,"80,00 ",1 
140,GO RUN Lite - Inertia,"80,00 ",1 
141,Vapor Foam - True Classic,"75,00 ",3 
142,Vapor Foam - Midnight Glimmer,"80,00 ",1 
143,Vapor Foam,"80,00 ",1 
144,Vapor Foam - Fresh Trend,"80,00 ",4 
145,Relaxed Fit: Breathe-Easy - Infi-Knity,"75,00",1 
146,Viper Court - Pickleball,"100,00 ",1 
147,Skech-Air Meta,"85,00 ",1 
148,GO WALK Arch Fit - Uptown Summer,"100,00 ",2 
149,GO WALK 6 - Iconic Vision,"85,00 ",2 
150,Iconic,"60,00 ",2 
151,Skechers GOwalk 6 - Big Splash,"80,00 ",1 
152,Skechers GOwalk 6 - Clear Virtue,"85,00",2 
153,Skechers GOwalk 6 - Magic Melody,"85,00",1 
154,GO WALK 6 - Bold Vision,"90,00 ",3 
155,On-the-GO Flex - Ashore,"70,00 ",2 
156,GO WALK Joy - Sensational Day,"65,00 ",4 
157,Skechers GO GOLF Max Fairway 3,"110,00 ",2 
158,Relaxed Fit: D'Lux Walker - Let it Glow,"90,00 ",2 
159,Relaxed Fit: D'Lux Walker - Daily Beauty,"90,00 ",1 
160,Relaxed Fit: D'Lux Walker - Get Oasis,"115,00 ",2 
161,Relaxed Fit: D'Lux Walker - Infinite Motion,"90,00 ",2 
162,Relaxed Fit: D'Lux Walker - Timeless Path,"90,00 ",2 
163,Ultra Flex 3.0 - Daily Choice,"85,00 ",3 
164,Ultra Flex 3.0 - Glam Night,"85,00 ",2 
165,Ultra Flex 3.0 - Classy Charm,"85,00 ",3
166,Skech-Lite Pro - Stunning Steps,"70,00 ",3 
167,Skech-Lite Pro - Glimmer Me,"70,00 ",2 
168,Skech-Lite Pro - Perfect Time,"70,00 ",2 
169,Skechers Arch Fit - Comfy Wave,"100,00 ",3 
170,Skechers Arch Fit - Metro Skyline,"100,00 ",1 
171,Skechers Arch Fit - Citi Drive,"100,00 ",1
172,Skechers Arch Fit - Infinity Cool,"100,00 ",1 
173,Gratis Sport - Live Golden,"85,00",1 
174,Dynamight 2.0 - Real Smooth,"65,00 ",1 
175,Skech-Air Dynamight - Luminosity,"70,00 ",1 
176,Skech-Air Dynamight - Fast,"70,00 ",4 
177,Skech-Air Court - Retro Avenue,"85,00 ",2 
178,Skechers Arch Fit Refine,"90,00 ",3 
179,Skechers Arch Fit Refine - Don't Go,"90,00 ",2 
180,Summits - Artistry Chic,"45,99 ",3 
181,Summits - Top Player,"65,00 ",3 
182,Summits,"65,00 ",5 
183,Summits - Fun Flair,"65,00 ",5 
184,Summits - Bright Charmer,"65,00 ",1 
185,Summits - Leopard Spot,"65,00 ",2 
186,Summits - South Rim,"55,00 ",2 
187,Summits AT - Artists Bluff,"65,00 ",3 
188,Summits - Next Wave,"65,00 ",1 
189,Summits - Suited,"55,00 ",3 
190,Summits,"65,00 ",4 
191,Flex Appeal 4.0 - Fresh Move,"85,00 ",2 
192,Flex Appeal 4.0 - Active Flow,"49,99 ",4 
193,Flex Appeal 4.0 - Brilliant View,"70,00 ",6 
194,Flex Advantage 4.0 - Wild Ballad,"75,00 ",1 
195,Graceful - Twisted Fortune,"55,00 ",2 
196,Graceful - Soft Soul,"65,00 ",2 
197,Ultra Flex - First Take,"85,00 ",1 
198,Fashion Fit - Bold Boundaries,"60,00 ",1 
199,GO RUN Pure 4,"115,00 ",1 
200,Skech-Air Dynamight - The Halcyon,"70,00 ",1 
201,Dynamight 2.0 - Eye to Eye,"45,99 ",4 
202,BOBS Too Cozy - Rockstar Pawty,"50,00 ",1 
203,BOBS Too Cozy - Chic Cat,"45,00 ",1 
204,BOBS Plush - Peace and Love,"45,00",1 
205,Fashion Fit - Effortless,"70,00 ",1 
206,D'Lites - Play On,"70,00 ",1
207,OG 85 - Goldn Gurl,"70,00 ",5 
208,OG 85 - Step N Fly,"65,00 ",1 
209,Billion - Subtle Spots,"70,00 ",1 
210,Reggae Slim - Vacay,"47,99 ",4 
211,Skechers On-the-GO 600 - Sunny,"50,00 ",1 
212,Skechers On-the-GO 600 - Glistening,"50,00 ",1 
213,Arya - Sweet Glitz,"75,00",1 
214,Seager - Power Hitter,"70,00 ",1 
215,Skechers On the GO Dreamy - Nightout,"70,00 ",1 
216,Work Relaxed Fit: Marsing - Gmina SR,"90,00 ",2 
217,Work: Sure Track - Jixie,"100,00 ",1 
218,BOBS Too Cozy - Dog-Attitude,"50,00 ",1 
219,Relaxed Fit: Reggae Fest 2.0 - New Yorker,"80,00 ",2 
220,Skechers On the GO Flex - Un Mar,"70,00 ",2 
221,Jammers - Say Goodbye,"80,00 ",2 
222,BOBS Pop-Ups 2 - Spring Crush,"55,00",1 
223,Skechers GO GOLF Pro V.2,"125,00",2 
224,Summits - New World,"70,00 ",1 
225,Skechers D'Lites,"90,00 ",2 
226,Cleo Snip - Sweet Daffodil,"55,00",1 
227,Keepsakes Wedge - Snow Kiss,"90,00 ",2 
228,Microburst 2.0 - Be Iconic,"70,00 ",2
229,Pop Ups - New Spark,"50,00 ",2 
230,Dynamight 2.0 - In a Flash,"60,00 ",2 
231,Bountiful - Quick Path,"55,00 ",5 
232,Dynamight 2.0 - Social Orbit,"60,00 ",2 
233,BOBS Too Cozy - Winter Howl,"50,00 ",1 
234,Relaxed Fit: D'Lux Walker - New Block,"60,00 ",1 
235,Relaxed Fit: Easy Going - High Zip,"90,00 ",1 
236,Synergy - Collab,"80,00 ",1 
237,Relaxed Fit: Easy Going - Moro Street,"85,00 ",2 
238,Skechers BOBS Sport Buno - How Sweet,"70,00 ",1 
239,Uno - High Regards,"90,00 ",2 
240,Uno Lite - Lighter One,"70,00 ",3 
241,Uno - Rose Bold,"85,00 ",1 
242,JGoldcrown: Uno - Golden Heart,"100,00 ",2 
243,JGoldcrown: Uno - Highlight Love,"95,00 ",2 
244,Skechers x JGoldcrown: Uno - Spread the Love,"100,00 ",2 
245,Skechers x JGoldcrown: Uno - Dripping In Love,"95,00 ",1 
246,Skechers x JGoldcrown: Uno - Metallic Love,"110,00 ",2 
247,JGoldcrown: Uno 2 - Floating Love,"100,00 ",1 
248,Skechers x JGoldcrown: Uno - Loving Love,"95,00 ",4 
249,Tres-Air Uno - Revolution-Airy,"90,00 ",2 
250,Track - New Staple,"65,00 ",1 
251,Track - Daytime Dreamer,"65,00 ",2 
252,Skechers Slip-ins: On-the-GO Joy - Cozy Dream,"100,00 ",3
253,Skechers Slip-ins: On-the-GO Joy,"90,00 ",2 
254,Skechers Slip-ins: On-the-GO Joy - Cozy Charm,"100,00 ",3
255,Relaxed Fit: Trego - Winter Feelings,"100,00 ",1 
256,Relaxed Fit: Trego - Falls Finest,"100,00 ",1 
257,Arya - Fresher Trick,"70,00 ",2 
258,Uno Rugged - Fall Air,"90,00 ",4 
259,Uno Rugged - Fall Mode,"95,00 ",1 
260,Skechers On-the-GO Joy - Plush Dreams,"75,00 ",3 
261,Skechers On-the-GO Glacial Ultra - Woodlands,"85,00 ",1 
